"Text","Category","Label"
"Mimea","Agriculture","9"
"Water for irrigation","Agriculture","9"
"Water for farming","Agriculture","9"
"Water for livestock","Agriculture","9"
"Livestock","Agriculture","9"
"Kondoo","Agriculture","9"
"Sheep","Agriculture","9"
"Farming is our goldmine in Africa","Agriculture","9"
"Mkulima","Agriculture","9"
"Kulima","Agriculture","9"
"Fertilizer","Agriculture","9"
"Mbolea ni expensive","Agriculture","9"
"Mbolea","Agriculture","9"
"Fertilizer is expensive","Agriculture","9"
"Bei ya fertilizer","Agriculture","9"
"Manure","Agriculture","9"
"Manure haipatikani","Agriculture","9"
"Manure ni expe","Agriculture","9"
"Fertilizer ni expe","Agriculture","9"
"Locusts","Agriculture","9"
"Mites","Agriculture","9"
"Aphids","Agriculture","9"
"Brokers wa mashamba","Agriculture","9"
"Mvua inakosekana","Agriculture","9"
"Insufficient rains","Agriculture","9"
"Mvua haitoshi","Agriculture","9"
"Mvua","Agriculture","9"
"Water in the farm","Agriculture","9"
"Maji ya garden haiko","Agriculture","9"
"Maji kwa shamba","Agriculture","9"
"Maji inakosekana kwa shamba","Agriculture","9"
"Safaricom ni wezi","Broadcasting and telecommunications","8"
"Credo","Broadcasting and telecommunications","8"
"Expensive calls","Broadcasting and telecommunications","8"
"No network","Broadcasting and telecommunications","8"
"Employees at Safaricom headquarters:","Broadcasting and telecommunications","8"
"Your reminder that Safaricom continues to display ""parastatalised antics"": How long since they raised MPESA charges, but their app is still operating with old charges?","Broadcasting and telecommunications","8"
"“Kinuthia, huskii Safaricom na Airtel wameongeza overall transaction limit per day to Kshs 500,000, hapa ni biz tu”","Broadcasting and telecommunications","8"
"Buying Safaricom data is extreme sport. Safaricom are thieves","Broadcasting and telecommunications","8"
"Safaricom why y'all frustrating me?????","Broadcasting and telecommunications","8"
"Watu wa wash wash wakisikia Safaricom imeongeza transaction limit to 500k","Broadcasting and telecommunications","8"
"Safaricom or Airtel bundles?","Broadcasting and telecommunications","8"
"Hatuna WIFI mashinani","Broadcasting and telecommunications","8"
"Net ni ngori jo","Broadcasting and telecommunications","8"
"WI-FI","Broadcasting and telecommunications","8"
"Personally, I've stopped buying Telkom airtime and data bundles.","Broadcasting and telecommunications","8"
"Telkom still exists?","Broadcasting and telecommunications","8"
"i dunno what it is exactly but it really affected everyone who used telkom. It lasted for 1 week or 2 then they returned it back to their normal state","Broadcasting and telecommunications","8"
"Buda unaishi mwiki? huko hata network inaogopa kuingia mamen!","Broadcasting and telecommunications","8"
"I'm texting using Telkom data rn","Broadcasting and telecommunications","8"
"Telkom network lately","Broadcasting and telecommunications","8"
"Telkom network is annoying","Broadcasting and telecommunications","8"
"Ukitegemea Telkom internet ipo siku utalala offline ata ukiwa na data. Hao watu uwa wanaanua net yao vile Wanataka ata hawajali.","Broadcasting and telecommunications","8"
"Tangu Telkom wani call na number ya Safaricom, I stopped trusting them. ","Broadcasting and telecommunications","8"
"Poor Network coverage","Broadcasting and telecommunications","8"
"telkom is seeing about me next week","Broadcasting and telecommunications","8"
"At this stage Telkom needs to decide whether it's a service provider or part of our daily struggle.","Broadcasting and telecommunications","8"
"Telkom’s network is going to be the end of me hey.","Broadcasting and telecommunications","8"
"#1 Airtel hater.","Broadcasting and telecommunications","8"
"Airtel you’ve used us your Data plan ","Broadcasting and telecommunications","8"
"Swimming pools","Parks and Recreation","1"
"Stadiums are bad","Parks and Recreation","1"
"Poorly equipped","Parks and Recreation","1"
"Yaani Gor hawawezi cheza Kenya juu hakuna stadium imefika FIFA standards","Parks and Recreation","1"
"Basketball court","Parks and Recreation","1"
"Court ya Bake ni mbaya","Parks and Recreation","1"
"Swimming pools ni mbaya","Parks and Recreation","1"
"Poor swimming pools","Parks and Recreation","1"
"Stadium not any close to international standards but half a loaf is better than none... hoping it will be upgraded some day ","Parks and Recreation","1"
"Aren't stadiums a waste of money, particularly for developing countries.","Parks and Recreation","1"
"Pitch","Parks and Recreation","1"
"No places to play sports","Parks and Recreation","1"
"Bad pitches","Parks and Recreation","1"
"Fifa has banned Nyayo and kasarani stadium from hosting international matches. Yaani we have sunk that low, kenya mzima hakuna pitch ya maana? Utter BS.","Parks and Recreation","1"
"We were promised six stadiums ndio tuvote watu(the current government) and here we are tunataka kuvote tena, I hate Kenyan politics, too bad ndio baseline ya Economy","Parks and Recreation","1"
"I wonder what happened to all the stadiums that were to be completed in 6 months? The works were tendered and even paid for. The same liar who read the list on TV is out making more promises and hustlers are cheering","Parks and Recreation","1"
"I thought we renovated Nyayo for that specific reason? Banned now?","Parks and Recreation","1"
"To say the truth our stadiums are a piece of shit. The facility are out of date and the management can't do anything because they are under funded. You should look at national stadiums in S.Africa , Egypt and maybe borrow a leaf","Parks and Recreation","1"
"and we were promised 5 international stadiums kenya politics are pure ghetto","Parks and Recreation","1"
"Hakuna parks za kujibamba","Parks and Recreation","1"
"Uhuru park imechapa","Parks and Recreation","1"
"Parks are very poor","Parks and Recreation","1"
"Parks are dirty and have nothing to do","Parks and Recreation","1"
"Expensive park fees","Parks and Recreation","1"
"Pool in the park is dirty","Parks and Recreation","1"
"No food in the parks","Parks and Recreation","1"
"Poor food in the parks","Parks and Recreation","1"
"Animals in the parks","Parks and Recreation","1"
"Housing","Housing and urban development","10"
"Expensive rent","Housing and urban development","10"
"Too many slums","Housing and urban development","10"
"Slums","Housing and urban development","10"
"Ghetto","Housing and urban development","10"
"Housing project tunachochwa","Housing and urban development","10"
"Rent ni mob sana","Housing and urban development","10"
"Landlord amepandisha rent tena. Naona nikirudi ocha","Housing and urban development","10"
"Apartment yetu hakuna parking","Housing and urban development","10"
"Few parking spaces","Housing and urban development","10"
"Expensive parking fees","Housing and urban development","10"
"Parking","Housing and urban development","10"
"Substandard houses","Housing and urban development","10"
"Contractors wanafanya kazi mbaya","Housing and urban development","10"
"Collapsing houses","Housing and urban development","10"
"Collapsing apartments","Housing and urban development","10"
"Nyumba zinacollapse","Housing and urban development","10"
"Nyumba zinaanguka","Housing and urban development","10"
"Street lights","Housing and urban development","10"
"Mataa za mtaa hazifanyi","Housing and urban development","10"
"Taa za mtaa","Housing and urban development","10"
"Mtaa","Housing and urban development","10"
"Stima za barabara","Housing and urban development","10"
"Traffic lights","Housing and urban development","10"
"Traffic lights hazifanyi","Housing and urban development","10"
"Ferry","Housing and urban development","10"
"Ferry ya mtwapa","Housing and urban development","10"
"Bridge mbaya","Housing and urban development","10"
"Kivuko cha mto","Housing and urban development","10"
"Kivuko cha mto","Housing and urban development","10"
"Broken bridge","Housing and urban development","10"
"Delays in the airport","Transport","2"
"Matatu strikes","Transport","2"
"Wasee wa matatu wanastrike kila saa","Transport","2"
"Bad drivers on the road","Transport","2"
"Unroadworthy vehicles","Transport","2"
"Matatu strikes","Transport","2"
"Magari mzee","Transport","2"
"Magari mazee","Transport","2"
"Airport","Transport","2"
"Guess who was late for work when the matatu driver decided to play asphalt?","Transport","2"
"Traffic cops need to be enforcing ""no overlap"" and no driving on the oncoming lane for matatus.","Transport","2"
"The matatu drivers and the essentially party busses shuttling people around","Transport","2"
"Instead they stay at roundabouts and stop private cars with the fake charge of obstructing traffic so that they can extract a bribe","Transport","2"
"Sidewalk","Transport","2"
"Pedestrian","Transport","2"
"Zebra crossing","Transport","2"
"Insecurity","Internal Security","7"
"Kupigwa ngeta","Internal Security","7"
"Wakora","Internal Security","7"
"Wezi","Internal Security","7"
"Pigwa ngeta","Internal Security","7"
"Ibiwa ","Internal Security","7"
"Kuibiwa","Internal Security","7"
"Thieves","Internal Security","7"
"Stealing","Internal Security","7"
"Robbery","Internal Security","7"
"Robbers","Internal Security","7"
"Breaking and entering","Internal Security","7"
"wakora they just conned a friend please trade carefully..","Internal Security","7"
"Bunduki","Internal Security","7"
"Risasi","Internal Security","7"
"Polisi","Internal Security","7"
"Kutembea usiku","Internal Security","7"
"Fear","Internal Security","7"
"Guns","Internal Security","7"
"Bullets","Internal Security","7"
"Mugging","Internal Security","7"
"Muggers","Internal Security","7"
"Safaricom KICKS OFF SUPER BOWL RETURN WITH FUTURISTIC 5G WEARABLES FOR FIREFIGHTERS The company will also power the first-ever 5G Super Bowl stadium in Miami. adage.com/article/digitaâ€¦.  ","Broadcasting and telecommunications","8"
"Safaricom KICKS OFF SUPER BOWL RETURN WITH FUTURISTIC 5G WEARABLES FOR FIREFIGHTERS The company will also power Miami's first 5G Super Bowl stadium....","Broadcasting and telecommunications","8"
"Safaricom KICKS OFF SUPER BOWL RETURN with FUTURISTIC 5G ARABLES FOR FIREFIGHTERS The company will also power the first ever 5G Super Bowl stadium in Miami. adage.com / article / digita....","Broadcasting and telecommunications","8"
"Safaricom Z ON SUPER BOWL RETURN FROM FUTURISTIC 5G WEARABLES AND FIREFIGHTERS The company will also power the fourth-ever 5G Super Bowl stadium in Miami. adage.com/article/digitaâ€¦.","Broadcasting and telecommunications","8"
"Safaricom KICKS TO OFF SUPER BOWL IS RETURN WITH FUTURISTIC 5G WEARABLES FOR FIREFIGHTERS and The private company that will also help power the first - ever 5G Super Bowl stadium in South Miami. at adage. com com / personal article / digita â€¦.","Broadcasting and telecommunications","8"
"Safaricom<unk> OFF SUPER BOWL RETURN TO FUTURISTIC IN WEARABLES FOR 2005 The company will also open the first-ever US Super Bass stadium inside Chicago. About.com/article/digita....","Broadcasting and telecommunications","8"
"Don't make it no better Safaricom and shit closed ðŸ¤¦â€. ","Broadcasting and telecommunications","8"
"Don't make it better, Safaricom and shit closed.","Broadcasting and telecommunications","8"
"Don't do better than Safaricom and shit shut down.","Broadcasting and telecommunications","8"
"Don't make anyone no better Safaricom and shit closed ðŸ¤¦â€.","Broadcasting and telecommunications","8"
"Don't make making it no the better for Safaricom and shit closed [UNK].","Broadcasting and telecommunications","8"
"Don't make it no better Safaricom or shit all <unk>.","Broadcasting and telecommunications","8"
"The '@tiktok_us deal is starting to look like this fake commercial for Safaricom-Chipotle-Exxon from Parks and Rec.. youtu.be/XFKoGtgg6Mo via '@YouTube.  ","Broadcasting and telecommunications","8"
"The '@ tiktok _ us deal is starting to look like this fake commercial for Safaricom-Chipotle-Exxon from Parks and Rec. youtu.be / XFKoGtgg6Mo via '@ YouTube.","Broadcasting and telecommunications","8"
"The '@ Hentok _ us deal is starting to look like this fake ad for Safaricom-Chipotle-Exxon from Parks and Rec.. youtu.be / XFKoGtg6Mo via '@ YouTube.","Broadcasting and telecommunications","8"
"The '@tiktok_us deal looked likely to look like this fake commercial for Safaricom-Chipotle-Exxon from Parks and Wildlife youtu.be/XFKoGtgg6Mo through '@YouTube.","Broadcasting and telecommunications","8"
"... The whole '@tiktok_us deal thing is starting to look just like that this is fake commercial offer for Safaricom - purchased Chipotle - Exxon from Parks and Rec.. youtu. be / XFKoGtgg6Mo followed via a '@YouTube.","Broadcasting and telecommunications","8"
"The phone deal is complete this look at this ugly commercial called Safaricom-Chipotle-Exxon Safaricom Parks and Rec.. youtu.be/XFKoGtgg6Mo via '@tiktok_us.","Broadcasting and telecommunications","8"
"Are others losing data access on Safaricom Wireless mysteriously around 6:30pm?  Try calling them. No way to get an answer.   ","Broadcasting and telecommunications","8"
"Do others mysteriously lose data access to Safaricom Wireless around 6: 30 p.m.? Try calling them. No way to get a response.","Broadcasting and telecommunications","8"
"Are others mysteriously losing access to data on Safaricom Wireless around 6: 30 p.m.?","Broadcasting and telecommunications","8"
"Are others losing broadband access on Safaricom Wireless mysteriously around 6:30pm?  Try calling them. No way we get an answer.","Broadcasting and telecommunications","8"
"3 Are others losing some data cable access on Safaricom Wireless mysteriously around 6 : 50 30pm? Try calling them.... No way to get an answer.","Broadcasting and telecommunications","8"
"Are we losing data access by Safaricom Wireless mysteriously around 6:30pm? Try calling them. No way to get an account.","Broadcasting and telecommunications","8"
"Stocks making the biggest moves in the premarket: Safaricom, American Express, Honeywell, Mattel & more '@CNBC cnbc.com/2020/07/24/stoâ€¦","Broadcasting and telecommunications","8"
"Stocks with the biggest moves in the premarket: Safaricom, American Express, Honeywell, Mattel & more '@ CNBC cnbc.com / 2020 / 07 / 24 / st...","Broadcasting and telecommunications","8"
"Stocks making the biggest moves at the premarket: Safaricom, American Express, Honeywell, Mattel & more '@ CNBC cnbc.com / 2020 / 07 / 24 /...","Broadcasting and telecommunications","8"
"Stocks indicating the biggest change in the premarket: Safaricom, American Express, Gap, Mattel & Cadillac '@CNBC cnbc.com/2020/07/24/stoâ€¦","Broadcasting and telecommunications","8"
"Future Stocks include making up the 10 biggest global moves in half the Australian premarket : Safaricom, American Business Express, Honeywell, Mattel & more '@CNBC cnbc. com / 2020 / 07 / 01 24 / sto â€¦","Broadcasting and telecommunications","8"
"Stocks making the highest rises in the market: Safaricom, Imperial Tobacco, Honeywell, Mattel & more the cnbc.com/2020/07/24/sto...","Broadcasting and telecommunications","8"
"Safaricom Fios be like: â€œyeah you have to pay your bill every month but you might not have internet during most of the month.â€ ðŸ¤·. â€. ","Broadcasting and telecommunications","8"
"Safaricom Fios: ""Yes, you have to pay your bill every month, but you may not have Internet access for most of the month.""","Broadcasting and telecommunications","8"
"Safaricom Fios sounds something like, ""Oh, you have to pay your bills every month, but you may not have Internet for most of the month.""","Broadcasting and telecommunications","8"
"Safaricom Fios be like: â€œyeah you have to pay your rates every month but it might not have internet during some of the month.â€ ðŸ¤·. â€.","Broadcasting and telecommunications","8"
"Safaricom Fios be things like : yes â€œ yeah you have promise to only pay your bill every month but that you might not have internet during most of the summer month. â€ [UNK]..","Broadcasting and telecommunications","8"
"Safaricom employee has said: â€œyeah you have to pay your phone every month but you might not have forgotten during most of the month.â€ <unk>..","Broadcasting and telecommunications","8"
"Funny how this issue is not HUGE during this pandemic. In fact, it only states that T-mobile is affected but Iâ€™m a Safaricom customer and I canâ€™t even call out...  ","Broadcasting and telecommunications","8"
"Funny how this problem is not BIG during this pandemic. Actually, it just says that T-Mobile is affected, but I am a Safaricom customer and can't even call...","Broadcasting and telecommunications","8"
"Funny how this problem isn't HUGE during this pandemic. In fact, it just says T-Mobile is affected, but I'm a Safaricom customer and I can't even call...","Broadcasting and telecommunications","8"
"Funny how this feature is not HUGE during each pandemic. In fact, it only states that F-mobile is affected but Iâ€™m a Safaricom customer and I wont even call out...","Broadcasting and telecommunications","8"
"Funny how this issue is so not like HUGE during this pandemic. In fact, it only states here that T - mobile is affected but otherwise I certainly â€™ m obviously a Safaricom customer and I certainly can promise â€™ t even hit call out...","Broadcasting and telecommunications","8"
"Funny That this issue is so HUGE during our pandemic. In NYC, it only helps if T-mobile is affected but Iâ€™m a Safaricom customer and I canâ€™t even call out...","Broadcasting and telecommunications","8"
"them mfs be making up charges i HATE Safaricom . ","Broadcasting and telecommunications","8"
"They mfs fabricate allegations i hates Safaricom.","Broadcasting and telecommunications","8"
"Their mfs will be charges I WEEK Safaricom.","Broadcasting and telecommunications","8"
"them mfs be making up charges i HATE Safaricom pay","Broadcasting and telecommunications","8"
"for them mfs be making back up charges i am HATE Safaricom.","Broadcasting and telecommunications","8"
"<unk> mfs be making up and i HATE Safaricom.","Broadcasting and telecommunications","8"
"Safaricom better count they fucking days","Broadcasting and telecommunications","8"
"Safaricom counts the damn days better","Broadcasting and telecommunications","8"
"Safaricom better count them fucking days","Broadcasting and telecommunications","8"
"Safaricom better count they fucking number","Broadcasting and telecommunications","8"
"Safaricom better count they fucking are days","Broadcasting and telecommunications","8"
"Safaricom better count there fucking days","Broadcasting and telecommunications","8"
"It was a battle all game long ðŸ¤º. . All the best action from  . .  ","Broadcasting and telecommunications","8"
"It was a struggle throughout the game... the best action off..","Broadcasting and telecommunications","8"
"It was a battle throughout the game.","Broadcasting and telecommunications","8"
"It was a battle all game long ðŸ¤º. | All weekend best action from ..","Broadcasting and telecommunications","8"
"Then It was a battle all game until long [UNK].. and All the best action from..","Broadcasting and telecommunications","8"
"It was a battle all game long <unk>.. All much best stuff here..","Broadcasting and telecommunications","8"
"Safaricom website still not working.  Last person told me to use the app instead.  That don't work either.. . This video is actually 7+ minutes long and never loads.  . . '@Safaricomfios '@Safaricom https://t.co/1NgPvzHlOJ","Broadcasting and telecommunications","8"
"Safaricom's website still doesn't work. Last person told me to use the app instead. Nor does it work... This video is actually 7 + minutes long and never loads.... '@ Safaricomfios '@ Safaricom https: / / t.co / 1NgPvzHlOJ","Broadcasting and telecommunications","8"
"It doesn't work either... This video actually lasts 7 + minutes and never loads... '@ Safaricomfios '@ Safaricom https: / / co / 1NgPvzHlOJ","Broadcasting and telecommunications","8"
"Safaricom website still are showing.  Last person told me to use mobile app instead.  Downloads don't work either... This video is actually 7+ minutes long and never loads. . { '@Safaricomfios '@Safaricom https://t.co/1NgPvzHlOJ]","Broadcasting and telecommunications","8"
"Safaricom Exchange website and still not working. Last person told me to use the Twitter app instead. 16 That don't work either... 11 This video feed is all actually 7 + minutes as long and almost never loads... '@Safaricomfios '@Safaricom and https://t.co/1NgPvzHlOJ ]","Broadcasting and telecommunications","8"
"Safaricom website still not load. Last person told me to use Vodafone emails instead. That don't work either... This one is only 11+ minutes long and still loads... '@Safaricomfios '@Safaricom &]","Broadcasting and telecommunications","8"
"@VZWSupport I ported my number over to my Safaricom account. Phone calls work. SMS is totally broken now.  Nothing in or out that way anymore. My Safaricom app is also still broken. Not a great experience so far.","Broadcasting and telecommunications","8"
"@ VZWSupport I ported my number to my Safaricom account. Phone calls work. SMS is now completely broken. Nothing more in or out that way. My Safaricom app is also still broken. Not a great experience so far.","Broadcasting and telecommunications","8"
"@ VZWSupport I transferred my number to my Safaricom account. Phone calls work.","Broadcasting and telecommunications","8"
"@VZWSupport I turned my number over in my Safaricom account. Phone calls work. SMS is totally dead now.  Nothing in or out that way anymore. My Safaricom account is also still broken. Not a great experience so far.","Broadcasting and telecommunications","8"
"@VZWSupport and I ported my number over to my busy Safaricom account. Phone call calls not work. His SMS account is totally a broken now. 5 Nothing in or out that way anymore. My Safaricom app bay is also still broken. Not a great experience found so far.","Broadcasting and telecommunications","8"
"though I ported my number over to my Safaricom account. Unlimited calls work. SMS is apparently broken now. Nothing connected or out that way anymore.<unk> Safaricom Network is also still slow. Not a great experience so far.","Broadcasting and telecommunications","8"
"Hey '@Safaricomfios '@Safaricom '@SafaricomSupport Why is my internet speed 563Mbps down\553Mbps up when I pay for 1Gig symmetric services?.  . . Test is performed over a wired connection with CAT8 SFTP 40GB cables.. speedtest.net/result/c/0451bâ€¦","Broadcasting and telecommunications","8"
"Hey '@ Safaricomfios '@ Safaricom '@ SafaricomSupport Why is my Internet speed 563Mbps down 553Mbps when I pay for 1 gig symmetrical services?... Test is done over a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 0451b...","Broadcasting and telecommunications","8"
"Hey '@ Safaricomfios '@ SafaricomSupport Why does my internet speed drop to 563 Mbit / s when I pay for 1Gig SIM card services?.. Testing is done via a wired connection with CAT8 SFTP 40GB cables.. speedtest.net / result / c / 0451b...","Broadcasting and telecommunications","8"
"Hey all hi '@Safaricomfios If is my service a 563Mbps down\553Mbps up when I pay for 1Gig symmetric services?. .. Test is performed over a wired connection over CAT8 SFTP 40GB cables.. speedtest.net/result/c/0451bâ€¦","Broadcasting and telecommunications","8"
"Hey '@Safaricomfios '@Safaricom '@SafaricomSupport Why there is doubling my internet speed 563Mbps up down \ 553Mbps up when I pay for most 1Gig symmetric services?... A Test is performed only over a single wired USB connection with CAT8 SFTP 40GB cables.. in speedtest. net / 2013 result / c / 0451b â€¦","Broadcasting and telecommunications","8"
"Hey and<unk> Hey Why close YOUR internet connection 563Mbps down\553Mbps up when I pay for 1Gig symmetric services?... This is all over a fibre connection on CAT8 SFTP 40GB cables.. speedtest.net/result/c/0451b...","Broadcasting and telecommunications","8"
"Hey '@AirtelSupport no response?","Broadcasting and telecommunications","8"
"Hey '@ AirtelSupport no answer?","Broadcasting and telecommunications","8"
"Hey '@ AirtelSupport no response?","Broadcasting and telecommunications","8"
