id,tender-title,tender-ref_No,contract_amount,contract_code,contract_status,created_at,expected_completion_date,month,org_name,pin_number,supplier_name,tender_award_date,type,updated_at,year
11,supply and delivery of toners to netfund,NETFUND/QT/015/2018-19,"45,000.00",QYTEOXMH,Ongoing,2019-02-26 9:53:01,2018-12-31,Nov,Netfund,P051379633M,itimo solutions limited,2019-11-01,State Corporation,0 Days,2019
12,provision of conference facilities,RBA/RFQ/CONFERENCE/613/801/2018,"231,000.00",ZS7WA72H,Ongoing,2019-01-30 11:16:58,2018-11-05,Oct,Retirement Benefits Authority,P000607761D,sarova hotels limited,2019-10-30,State Corporation,0 Days,2019
13,supply and delivery of drinking water,KSC/T/DW/07/2018/2019,"975,000.00",JPTRYYBB,Ongoing,2019-03-15 15:41:15,2019-11-04,Oct,Kenya Seed Company,A004357679l,cass ventures company,2019-10-19,State Corporation,7 Months,2019
14,air ticket,KRB/321/2018-19,"53,045.00",P0WL3ZOG,Ongoing,2019-01-28 18:57:54,2019-10-09,Sep,Kenya Roads Board,P051322417M,longrock tours & travel limited,2019-09-30,State Corporation,6 Months,2019
15,air ticket,KRB/324/2018-19,"35,000.00",DXD5PSKR,Ongoing,2019-01-28 19:04:00,2019-10-09,Sep,Kenya Roads Board,P051322417M,longrock tours & travel limited,2019-09-30,State Corporation,6 Months,2019
16,air ticket,KRB/307/2018/19,"40,900.00",XCI8Z41S,Ongoing,2019-01-01 18:22:11,2019-09-17,Sep,Kenya Roads Board,P051449667X,attic tours and travel limited,2019-09-06,State Corporation,5 Months,2019
17,air ticket,KRB/308/2018/19,"216,700.00",GYADCYLW,Ongoing,2019-01-01 18:25:57,2019-09-17,Sep,Kenya Roads Board,P051449667X,attic tours and travel limited,2019-09-05,State Corporation,5 Months,2019
18,air ticket,KRB/304/2018/19,"31,700.00",DPQZTOYP,Ongoing,2019-01-01 18:19:56,2019-09-12,Sep,Kenya Roads Board,P051449667X,attic tours and travel limited,2019-09-03,State Corporation,5 Months,2019
19,air ticket,KRB/302/2018/19,"47,000.00",WSCKZ5DN,Ongoing,2019-01-01 18:17:03,1970-01-01,Aug,Kenya Roads Board,P051167781L,roskar travel limited,2019-08-30,State Corporation,0 Days,2019
20,supply and delivery of tablets,TENDER NO. MTRH/T/1/2018-2019,"437,778.00",D6ZGGNS0,Ongoing,2019-03-11 16:38:13,2019-11-30,Aug,Moi Teaching and Referral Hostipal,P051106190Y,symphony technologies limited,2019-08-29,State Corporation,7 Months,2019
21,supply of book scanner,KRB/929/2018/19,"489,172.00",RCJCKSC5,Ongoing,2019-01-01 18:11:22,2019-09-06,Aug,Kenya Roads Board,P051459741N,kelchin enterprises   limited,2019-08-28,State Corporation,5 Months,2019
22,supply of ebook readers,KRB/929B/2018/19,"411,800.00",LTEBVQFW,Ongoing,2019-01-01 18:13:31,2019-09-06,Aug,Kenya Roads Board,P051672070F,netsec engineering,2019-08-28,State Corporation,5 Months,2019
23,air ticket,KRB/299/2018/19,"105,700.00",FAAP5WZG,Ongoing,2019-01-01 17:45:25,2019-09-03,Aug,Kenya Roads Board,P051132264Q,african touch safaris limited,2019-08-23,State Corporation,4 Months,2019
24,air ticket,KRB/301/2018/19,"167,900.00",BEMARA3J,Ongoing,2019-01-01 18:06:44,2019-09-03,Aug,Kenya Roads Board,P051132264Q,african touch safaris limited,2019-08-23,State Corporation,4 Months,2019
25,conference facilities,KRB/229/2018/19,"440,000.00",LQAHLFEO,Ongoing,2019-01-01 18:45:06,2019-07-15,Jul,Kenya Roads Board,P051164694H,anashipai resort and spa,2019-07-03,State Corporation,3 Months,2019
26,master plan consultancy services for delivery of one million (1) housi...,MTIHUD/HUD/HD/35/2017-2018,"57,135,584.00",XFWDMKLM,Ongoing,2019-02-01 11:58:44,2018-10-12,Jun,"State Department of Housing, Urban Development and Public Works",P051097624D,kpmg advisory services limited,2019-06-12,State Department,0 Days,2019
27,supply and delivery of un-interrupted power supply,SASRA/037/2017-2018,"500,000.00",9NS8H9OL,Ongoing,2019-01-30 11:39:36,1970-01-01,May,The Sacco Societies Regulatory Authority,P051653730C,macolours queens   limited,2019-05-14,State Corporation,0 Days,2019
28,provision of rehabilitation works for olkiriai riverine at oloitiko pr...,KWTA/025/2019-2020,"5,700,000.00",S5K8OV,Active,2019-04-02 14:31:50,2021-06-05,Apr,Kenya Water Towers Agency,P051659087C,olkwatiti investments limited,2019-04-18,State Corporation,2 Year,2019
29,construction makutano road,XXX/yy/2018-2019,"1,233,455.00",AP5QQU,Active,2019-04-02 10:43:40,2019-04-17,Apr,Kenya Roadway,P051177063D,ajale enterpirses limited,2019-04-03,State Department,13 Days,2019
30,supply of photocopying papers 80 gsm a4 size,HELB/RFQ/105/2018-2019,"980,000.00",CQNV9Q,Active,2019-04-03 8:44:54,2020-03-28,Apr,Higher Education Loan Board,P051732447G,carpricon stationers and general suppliers limited,2019-03-29,State Corporation,11 Months,2019
31,tender for replacement of current cyberroam with sophos utm appliance...,KPOSB/002/2019,"2,801,475.00",KXZMBH,Active,2019-03-26 10:41:29,2019-04-30,Mar,Kenya Post Office Saving Bank,P051598523P,computer revolution africa group limited,2019-03-22,State Corporation,26 Days,2019
32,provision of airtickets,NEPAD/031/18-19,"117,240.00",ZZTXNU,Active,2019-04-02 12:13:29,2019-03-29,Apr,New Partnership for Africa's Development,P051442732V,splash world limited,2019-03-21,State Corporation,0 Days,2019
33,proposed access control system to mosc 4th floor- mombasa headquarter,KMF/TENDER/NO/45/2018-2019,"399,875.00",FPMN81,Active,2019-03-29 12:44:28,2019-07-30,Mar,Kenya Marine and fisheries Research Institute,P051188965R,world electronics company limited,2019-03-20,State Corporation,3 Months,2019
34,tender for tea cleaning and messengerial services,KPOSB/001/2019/2020,"6,945,600.00",5RJITJ,Ongoing,2019-02-08 9:43:49,2021-04-30,Mar,Kenya Post Office Saving Bank,P051527645N,dechrip east africa limited,2019-03-20,State Corporation,2 Year,2019
35,tender for tea cleaning and messengerial services,KPOSB/001/2019/2020,"540,000.00",W5FSH3,Ongoing,2019-02-08 11:53:28,2021-04-30,Mar,Kenya Post Office Saving Bank,P051462860E,kamtix cleaners co. limited,2019-03-20,State Corporation,2 Year,2019
36,tender for tea cleaning and messengerial services,KPOSB/001/2019/2020,"1,092,000.00",5MWZX8,Ongoing,2019-02-12 19:53:59,2021-04-30,Mar,Kenya Post Office Saving Bank,P051368077R,pestlab cleaning services limited,2019-03-20,State Corporation,2 Year,2019
37,tender for tea cleaning and messengerial services,KPOSB/001/2019/2020,"7,680,000.00",BKWTN9,Active,2019-03-26 10:14:32,2021-04-30,Mar,Kenya Post Office Saving Bank,P051359824L,glacier east africa limited,2019-03-20,State Corporation,2 Year,2019
38,tender for tea cleaning and messengerial services,KPOSB/001/2019/2020,"5,287,200.00",MPHOE5,Active,2019-03-27 10:52:16,2021-04-30,Mar,Kenya Post Office Saving Bank,P051150623H,victoria cleaning services limited,2019-03-20,State Corporation,2 Year,2019
39,provision of hall services and breakfast,CDA 129/2018-2019,"103,500.00",SABXPV,Active,2019-03-29 15:38:01,2019-03-22,Mar,Coast Development Authority,P051326272G,prideinn hotels & investments limited,2019-03-20,State Corporation,0 Days,2019
40,procurement of stores and toners,WEF/RFQ/026/2018-2019,"48,080.00",CAHDTZ,Active,2019-03-20 8:57:09,2019-03-29,Mar,Women Enterprise Fund,A005557857O,codays enterprises,2019-03-20,State Corporation,0 Days,2019
41,supply of stores and toners,WEF/RFQ/022/2018-2019 - 2,"251,270.00",O4MGDA,Active,2019-03-20 11:27:15,2019-03-31,Mar,Women Enterprise Fund,A008158897Z,wandus general supplies,2019-03-20,State Corporation,0 Days,2019
42,mumbani earth dam rehabilitation,TAWSB/018/2018-2019,"4,345,789.00",SYCWTYUV,Ongoing,2019-03-13 11:47:13,2019-03-20,Mar,Tanathi Water Services Board,P051537992A,khadim limited,2019-03-20,State Corporation,0 Days,2019
43,supply and delivery of transcend hard disk,RFQ-BOOKSTORE-2019-00048,"150,800.00",0XEGER,Active,2019-04-01 12:55:48,2019-03-29,Apr,University of Nairobi Enterprises and Services,P051220388Z,kings paper works limited,2019-03-19,State Corporation,0 Days,2019
44,purchase of pressure switch sensor pt. no. 79134,LP/0103/19,"2,017,189.00",7NI7YEVS,Active,2019-03-28 9:23:08,2019-04-30,Mar,Kenya Ports Authority,P051372342U,port & harbours support services,2019-03-19,State Corporation,26 Days,2019
45,"supply, installation, calibration and commissioning of weighbridge ",NTZDC/TN/13/2018/19/20,"5,555,320.00",ZNZAIWR4,Ongoing,2019-03-12 13:16:26,1970-01-01,Mar,Nyayo Tea Zones Develop Corporation,P051178074I,scales & software (k) limited,2019-03-19,State Corporation,0 Days,2019
46,"supply, installation and commissioning of solar systems in kapkoiment...",KWTA/022/2019-2020,"5,618,689.00",9JXY21,Active,2019-04-02 17:02:00,2019-04-22,Apr,Kenya Water Towers Agency,P000591252N,davis and shirtlift limited,2019-03-18,State Corporation,18 Days,2019
47,supply and install of cyclone roof ventilators at ifpp-hola,CDA 025/ 2018-2019,"255,200.00",DWVBGJ,Active,2019-04-01 13:02:12,2019-02-19,Apr,Coast Development Authority,A005667495T,rojit technologies,2019-03-18,State Corporation,0 Days,2019
48,provision of insurance service,UOK/GPA/18/19/114,"90,675.00",7QBVEY,Active,2019-03-29 15:37:00,2019-08-31,Mar,University of Kabianga,P051115583C,sapon insurance brokers limited,2019-03-18,Public Universities,4 Months,2019
49,provision of insurance service,UOK/GPA/18/19/114,"8,550.00",2UIRBM,Active,2019-03-29 16:27:23,2019-08-31,Mar,University of Kabianga,P051115583C,sapon insurance brokers limited,2019-03-18,Public Universities,4 Months,2019
50,procurement of toners - 83a,WEF/RFQ/049/2018-2019,"480,560.00",SYQD5M,Active,2019-03-26 13:13:19,2019-04-15,Mar,Women Enterprise Fund,P051585300Z,tilinah enterprises,2019-03-18,State Corporation,11 Days,2019
51,supply and delivery of toners,RFQ-CORPORATE-2019-00011,"92,800.00",BAOHQE,Active,2019-03-27 17:37:57,2019-02-25,Mar,University of Nairobi Enterprises and Services,P051099534L,mfi documents solutions limited,2019-03-15,State Corporation,0 Days,2019
52,provision of conference facilities,NTZDC/QT/112/2018-19,"207,000.00",WKV1DV,Active,2019-03-18 14:45:50,2019-03-20,Mar,Nyayo Tea Zones Develop Corporation,A002125286Q,diamond rock resort and guest house,2019-03-15,State Corporation,0 Days,2019
53,"supply of toners, spring files, pritt, sugar and disposable cups ",WEF/022/2018-2019,"61,920.00",KDFXTR,Active,2019-03-20 8:34:30,2019-03-29,Mar,Women Enterprise Fund,a004136099y,colourcid supplies,2019-03-15,State Corporation,0 Days,2019
54,design printing and supply of frequently asked questions,IRA/138/2018-2019,"150,000.00",F2ALHTIM,Ongoing,2019-03-15 12:21:27,2019-03-31,Mar,Insurance Regulatory Authority,P051544639J,biltech africa limited,2019-03-14,State Corporation,0 Days,2019
55,provision of risk management training services,IRA/134/2018-2019,"1,426,800.00",US61LS,Active,2019-03-20 10:16:14,2020-03-25,Mar,Insurance Regulatory Authority,P051369086U,risk africa innovatis limited,2019-03-14,State Corporation,11 Months,2019
56,tender for provision of security information  & event management (siem...,KPOSB/019/2018,"10,216,207.00",Q26YPD,Active,2019-03-20 12:09:40,2021-03-31,Mar,Kenya Post Office Saving Bank,P000599855R,computech limited,2019-03-14,State Corporation,1 Year,2019
57,"return air tickets to mombasa for wanyingi,marilyn,martha,zablon,eliza...",HELB/RFQ/111/2018-2019,"117,000.00",P8CMOB,Active,2019-04-02 14:43:13,2019-04-13,Apr,Higher Education Loan Board,P051242637V,boma travel services limited,2019-03-14,State Corporation,9 Days,2019
58,provision of conference facilities,NTZDC/QT/108/2018-19,"259,260.00",XWSEP9,Active,2019-04-02 9:44:27,2019-04-05,Apr,Nyayo Tea Zones Develop Corporation,P051676636R,southern brook hotel limited,2019-03-14,State Corporation,1 Days,2019
59,motor vehicle service and repair gk b 271m,CDA 137/2018-2019,"71,013.00",KKVGUF,Ongoing,2019-01-25 12:55:56,2019-03-20,Mar,Coast Development Authority,P000609718Z,simba  corporation  limited,2019-03-14,State Corporation,0 Days,2019
60,supply of air ticket,CDA 135/2018-2019,"21,010.00",YVLA45,Active,2019-03-28 11:15:59,2019-03-16,Mar,Coast Development Authority,P051525351G,dreamz world group company limited,2019-03-14,State Corporation,0 Days,2019
61,provision of corporate antivirus,MOICT/031/2018 KFC,"39,000.00",W8Z7KLPD,Ongoing,2019-03-13 16:36:19,2020-04-01,Mar,Kenya Film Commission,P051449588B,cloud world limited,2019-03-13,State Corporation,11 Months,2019
62,service contract for mwache copiers,CDA 131/2018-2019,"266,800.00",SAP8GT,Ongoing,2019-01-24 14:53:58,2019-11-30,Mar,Coast Development Authority,P051099534I,mfi documents solutions limited,2019-03-13,State Corporation,7 Months,2019
63,hire of conference facilities for 6 staff members and 2 facilitators o...,HELB/RFQ/74/2018-2019,"86,400.00",ZH5VTN,Active,2019-04-03 12:16:34,2019-04-11,Apr,Higher Education Loan Board,P051144019J,hilton nairobi,2019-03-12,State Corporation,7 Days,2019
64,"supply, installation& commissioning of an electronic issuance, trading...",FSSP/NT/CMA/09/2018-2019,"6,463,575.00",O28K7P,Ongoing,2019-01-18 8:02:48,2019-03-26,Mar,The National Treasury and Planning,P051114338P,pkf consultants limited,2019-03-12,Ministry,0 Days,2019
65,"supply of extension cables,30cm rulers,stick notes 3 x 3 in assorted c...",HELB/RFQ/65/2018-2019,"190,400.00",OQSCW5,Active,2019-04-03 9:49:52,2019-04-20,Apr,Higher Education Loan Board,A006478680M,dao investments,2019-03-11,State Corporation,16 Days,2019
66,procurement of tonner cc 364a,IFMIS 704098,"183,280.00",WZBGNN,Active,2019-03-22 10:45:11,2019-03-15,Mar,Ethics and Anti-Corruption Commission,P051153638U,copierforce (kenya) limited,2019-03-11,Commissions and Independent Offices,0 Days,2019
67,supply and delivery of toners,IFMIS 704151,"230,840.00",CEB7UR,Active,2019-03-22 12:37:28,2019-03-15,Mar,Ethics and Anti-Corruption Commission,P051153638U,copierforce (kenya) limited,2019-03-11,Commissions and Independent Offices,0 Days,2019
68,return travel travel ait ticket to obernai(france),KSL/160/2018-2019,"172,700.00",9AJ4LG,Active,2019-03-21 15:28:30,2019-03-15,Mar,Kenya School Of Law,P051337084L,magical holidays limited,2019-03-10,State Corporation,0 Days,2019
69,design works,NACC/066/2018-2019,"145,000.00",L73NFSHI,Ongoing,2019-03-06 14:19:44,2019-02-15,Mar,NATIONAL AIDS CONTROL COUNCIL,A007255056V,mama duka ventures,2019-03-08,State Corporation,0 Days,2019
70,helb/rfq/70/printing and supply of event banner for the consultative f...,HELB/RFQ/70/2018-2019,"19,572.00",CTH5RM,Active,2019-03-18 11:50:53,2019-04-07,Mar,Higher Education Loan Board,P051568734R,archievers twenty ten  agencies,2019-03-08,State Corporation,3 Days,2019
71,supply and delivery of roll up banners,KFS/062/2018-2019,"123,600.00",DPPKID,Active,2019-04-02 12:06:11,2019-04-26,Apr,Kenya Forest Service,P051463416T,wiltech communication printers limited,2019-03-08,State Corporation,22 Days,2019
72,supply and delivery of stationeries,RFQ-CORPORATE-2019-00007,"330,000.00",BC3PJKWO,Ongoing,2019-03-15 14:40:36,2019-03-21,Mar,University of Nairobi Enterprises and Services,P051220388Z,kings paper works limited,2019-03-07,State Corporation,0 Days,2019
73,supply and delivery of teaching materials chemistry & physics departme...,MUST/003/2018-2019,"1,841,123.00",PSUIS3CG,Ongoing,2019-03-12 16:26:46,1970-01-01,Mar,Meru University of Science and Technology,P051500281X,benica east africa limited,2019-03-07,Public Universities,0 Days,2019
74,supply and delivery of teaching materials chemistry & physics departme...,MUST/003/2018-2019,"4,172,700.00",MIRM8OSK,Ongoing,2019-03-12 16:53:11,1970-01-01,Mar,Meru University of Science and Technology,P051610967J,telvian agencies,2019-03-07,Public Universities,0 Days,2019
75,supply and delivery of teaching materials chemistry & physics departme...,MUST/003/2018-2019,"1,038,600.00",K7B5OT5P,Ongoing,2019-03-13 8:58:00,1970-01-01,Mar,Meru University of Science and Technology,P051206591I,lued (a) chemical limited,2019-03-07,Public Universities,0 Days,2019
76,supply and delivery of factory solvents,NTZDC/QT/101/2018-19,"124,792.00",B7EKSB,Active,2019-04-02 11:11:17,2019-03-31,Apr,Nyayo Tea Zones Develop Corporation,P000613650Q,signode packaging systems limited,2019-03-06,State Corporation,0 Days,2019
77,supply and delivery of toner for technical department,CDA T-2(11)/2018-2019,"75,226.00",Q0MV6M,Ongoing,2019-01-24 14:43:38,2019-02-13,Mar,Coast Development Authority,P051215009Q,balwant and didar engineers limited,2019-03-06,State Corporation,0 Days,2019
78,supply and delivery of airtime,CDA 122/2017-2019,"33,000.00",JXZJ9I,Ongoing,2019-03-16 12:30:12,2019-03-13,Mar,Coast Development Authority,P051581750C,sagana holdings limited,2019-03-06,State Corporation,0 Days,2019
79,supply of one-way air tickets for 10pax to malindi-ktb/rfq/tkt/0026-b/...,KTB/RFQ/TKT/0026-B/2018/2019,"85,600.00",1EAREBKH,Ongoing,2019-03-06 13:09:13,2019-03-19,Mar,Kenya Tourism Board,P051594263M,angani tours and travel limited,2019-03-05,State Corporation,0 Days,2019
80,supply of hardcore,KPC/PU/408-LP/18,"949,492.00",IYJJVOV2,Ongoing,2019-03-07 14:01:21,2019-03-30,Mar,Kenya Pipeline Company,P051581958M,unique queen company limited,2019-03-05,State Corporation,0 Days,2019
81,tender for the supply and delivery of flight progress electronic therm...,TENDER NO. KCAA/046/2018-2019,"1,950,000.00",V3YM9W,Active,2019-03-29 8:18:50,2019-06-28,Mar,Kenya Civil Aviation Authority,P051174581C,magfre enterprises limited,2019-03-05,State Corporation,2 Months,2019
82,"tender for supply, installation and commissioning of composite repair...",TENDER NO. KCAA/043/2018-2019,"22,881,872.00",SDLON1FS,Active,2019-03-29 11:26:53,2019-06-28,Mar,Kenya Civil Aviation Authority,P051423549C,blue quadrant limited,2019-03-05,State Corporation,2 Months,2019
83,"tender for supply, delivery and installation of assorted office furnit...",TENDER NO. KCAA/048/2018-2019,"7,745,515.00",CMOBOR,Active,2019-03-29 11:50:42,2019-06-28,Mar,Kenya Civil Aviation Authority,P051532618W,mini mix agencies limited,2019-03-05,State Corporation,2 Months,2019
84,"tender for supply, delivery and installation of assorted office furnit...",TENDER NO. KCAA/048/2018-2019,"4,514,355.00",YSMESHE2,Active,2019-03-29 17:02:29,2019-06-28,Mar,Kenya Civil Aviation Authority,P051426590N,vile & blind (k) limited,2019-03-05,State Corporation,2 Months,2019
85,"tender for supply, delivery and installation of assorted office furnit...",TENDER NO. KCAA/048/2018-2019,"2,482,000.00",33KTZ1,Active,2019-03-29 17:19:45,2019-06-28,Mar,Kenya Civil Aviation Authority,P051324540T,apicah furniture limited,2019-03-05,State Corporation,2 Months,2019
86,"supply, delivery, installation and commissioning of water treatment un...",TENDER NO. KCAA/013/2018-2019,"5,944,400.00",UBUMUI,Active,2019-03-29 17:37:55,2019-06-28,Mar,Kenya Civil Aviation Authority,P051525566P,diston investment limited,2019-03-05,State Corporation,2 Months,2019
87,tender for provision of consultancy services for ict vulnerability ass...,TENDER NO. KCAA/050/2018-2019,"2,490,300.00",1FQWFP,Active,2019-03-29 18:04:32,2019-06-28,Mar,Kenya Civil Aviation Authority,P000615543U,kpmg kenya,2019-03-05,State Corporation,2 Months,2019
88,supply of heavy duty printer,MOICT/004/2018,"548,216.00",FYGZJS9D,Ongoing,2019-03-07 8:59:40,2019-03-12,Mar,Women Enterprise Fund,P051099534L,mfi documents solutions limited,2019-03-05,State Corporation,0 Days,2019
89,provision of consultancy services to conduct a national survey on insu...,IRA/116/2018-2019,"5,800,000.00",M5IMH0BO,Ongoing,2019-03-15 11:26:56,2019-05-29,Mar,Insurance Regulatory Authority,P051564515Z,kenbright actuarial and financial services limited,2019-03-01,State Corporation,1 Months,2019
90,provision of consultancy services to assess insurance claims managemen...,IRA/117/2018-2019,"3,526,400.00",UGXWAO,Active,2019-03-21 15:12:01,2019-06-30,Mar,Insurance Regulatory Authority,P051145270X,vas  consultants limited,2019-03-01,State Corporation,2 Months,2019
91,"printing and supply of branded delegates bag(1,000 pieces)",HELB/RFQ/64/2018-2019,"121,800.00",07EZSMIN,Ongoing,2019-03-13 16:48:57,2019-04-04,Mar,Higher Education Loan Board,P051102301X,ramco printing works limited,2019-03-01,State Corporation,0 Days,2019
92,printing and supply of external resource mobilization fliers -2000 pie...,HELB/RFQ/66/2018-2019,"18,560.00",UCYQKYDD,Ongoing,2019-03-13 17:10:24,2019-04-04,Mar,Higher Education Loan Board,P051102301X,ramco printing works limited,2019-03-01,State Corporation,0 Days,2019
93,return travel travel ait ticket to obernai(france),KSL/160/2018-2019,"172,700.00",NCRC6AZY,Ongoing,2019-03-15 9:04:51,2019-03-23,Feb,Kenya School Of Law,P051337084L,magical holidays limited,2019-02-28,State Corporation,0 Days,2019
94,provision of air ticket,SDBT/695360/2018-2019,"15,910.00",OIIUK902,Ongoing,2019-03-14 13:20:29,2019-02-28,Feb,State department for Telecommunications and Broadcating,P051322417M,longrock tours & travel limited,2019-02-28,State Department,0 Days,2019
95,supply of toners,RFQ 711181,"240,000.00",XSGMJ2,Active,2019-03-18 13:08:51,2019-03-04,Mar,State department for Telecommunications and Broadcating,A011235145I,globeview general merchants,2019-02-28,State Department,0 Days,2019
96,repair of motor vehicle - gk a932h,RFQ 704001/ 2018-209,"248,700.00",GGZQWA,Active,2019-03-27 11:50:52,2019-03-04,Mar,State department for Telecommunications and Broadcating,A0057020081,moragie auto and supplies,2019-02-28,State Department,0 Days,2019
97,provision of decoration services at the helb stand at the devolution c...,HELB/RFQ/68/2018-2018,"318,500.00",PACKPNWU,Ongoing,2019-03-13 17:34:24,2019-04-04,Feb,Higher Education Loan Board,P051451280W,mire -solutions co. limited,2019-02-28,State Corporation,0 Days,2019
98,"printing and supply of nametags,programmes and lanyards for the univer...",HELB/RFQ/62/2018-2019,"79,650.00",56TAZD,Active,2019-03-18 19:27:27,2019-03-27,Mar,Higher Education Loan Board,P051568734R,archievers twenty ten  agencies,2019-02-28,State Corporation,0 Days,2019
99,provision of air ticket services,CDA106/2018-2019,"49,185.00",2UNXEY0T,Ongoing,2019-03-12 11:33:54,2019-02-28,Feb,Coast Development Authority,P051525351G,dreamz world group company limited,2019-02-28,State Corporation,0 Days,2019
100,provision of monthly staff air time,NACC/AT/19/2018-19,"263,500.00",P2HTNU1H,Ongoing,2019-02-28 15:04:53,2019-02-28,Feb,NATIONAL AIDS CONTROL COUNCIL,P051129820X,safaricom plc,2019-02-27,State Corporation,0 Days,2019
101,provision of monthly staff air time,NACC/AT/18/2018-19,"30,000.00",KQHVEHGX,Ongoing,2019-02-28 15:08:47,2019-02-28,Feb,NATIONAL AIDS CONTROL COUNCIL,P051131780Q,airtel networks kenya limited,2019-02-27,State Corporation,0 Days,2019
102,provision of service and repair of motor vehicle,NACOSTI/QT/66/2018-2019,"276,312.00",EIXV1IHS,Ongoing,2019-03-15 13:28:02,2019-03-11,Feb,"National Commission For Science,Technology Andinnovation",P051354440V,first fit auto care limited,2019-02-27,State Corporation,0 Days,2019
103,supply of toners,RFQ 708007,"632,592.00",16RZRG7A,Ongoing,2019-03-15 23:11:44,2019-04-08,Feb,State Department of Planning,A002624368A,kamjoe printers and stationers,2019-02-27,State Department,4 Days,2019
104,supply and delivery of insecticide for seed maize treatment,KSC/DP/STC/01/2018/2019,"145,485,000.00",L1BZEW2D,Ongoing,2019-03-14 17:16:21,2019-03-31,Feb,Kenya Seed Company,P000592721O,syngenta east africa limited,2019-02-27,State Corporation,0 Days,2019
105,supply and delivery of ceos briefcase,IFMIS No. 710890,"22,620.00",EPIMZ7WC,Ongoing,2019-03-15 18:18:42,2019-03-08,Feb,Ethics and Anti-Corruption Commission,P051354728C,zenith east africa limited,2019-02-27,Commissions and Independent Offices,0 Days,2019
106,supply of laptops  and  desktops,NACOSTI/QT/64/2018-2019,"771,085.00",2JJRHFOH,Ongoing,2019-03-15 13:46:24,2019-03-05,Feb,"National Commission For Science,Technology Andinnovation",P051188700W,shonitel limited,2019-02-26,State Corporation,0 Days,2019
107,provision of hall services and breakfast,CDA 129/2018-2019,"48,500.00",CZKK8R,Ongoing,2019-03-12 11:41:30,2019-03-02,Mar,Coast Development Authority,P051525351G,dreamz world group company limited,2019-02-26,State Corporation,0 Days,2019
108,supply and delivery of mill lining plates,EAPCC/RT/295/2018,"10,421,820.00",B5MGFBXH,Ongoing,2019-03-06 11:31:56,2019-03-25,Feb,The East African Portland Cement Company,P000599120X,alloy steel castings limited,2019-02-25,State Corporation,0 Days,2019
